ID	Area	MinFeret	EQPC
1538	0.177	0.421	0.474724551
1539	0.177	0.421	0.474724551
1540	0.177	0.421	0.474724551
1541	0.177	0.421	0.474724551
1542	0.177	0.421	0.474724551
1543	18.26	5.021	4.821758402
1544	8.864	2.947	3.359463547
1545	0.177	0.421	0.474724551
1546	7.978	2.947	3.187146857
1547	1.596	1.263	1.425514052
1548	0.709	0.842	0.950119381
1549	0.886	1.13	1.062115924
1550	0.532	0.753	0.823020922
1551	0.532	0.753	0.823020922
1552	9.751	3.517	3.523543501
1553	0.177	0.421	0.474724551
1554	0.709	0.893	0.950119381
1555	3.368	2.084	2.07081404
1556	0.886	0.842	1.062115924
1557	3.368	1.883	2.07081404
1558	0.177	0.421	0.474724551
1559	0.532	0.753	0.823020922
1560	2.305	1.635	1.713130804
1561	0.177	0.421	0.474724551
1562	0.177	0.421	0.474724551
1563	1.596	1.489	1.425514052
1564	0.532	0.421	0.823020922
1565	19.856	4.3	5.028065672
1566	0.177	0.421	0.474724551
1567	11.524	3.519	3.830510738
1568	0.177	0.421	0.474724551
1569	2.305	1.684	1.713130804
1570	1.596	1.684	1.425514052
1571	1.596	1.684	1.425514052
1572	0.177	0.421	0.474724551
1573	9.396	2.947	3.458808865
1574	0.177	0.421	0.474724551
1575	0.177	0.421	0.474724551
1576	1.418	1.263	1.343671714
1577	0.177	0.421	0.474724551
1578	0.709	0.842	0.950119381
1579	0.886	1.065	1.062115924
1580	0.709	0.842	0.950119381
1581	384.177	23.579	22.11672102
1582	0.177	0.421	0.474724551
1583	0.886	1.191	1.062115924
1584	0.177	0.421	0.474724551
1585	0.177	0.421	0.474724551
1586	0.532	0.753	0.823020922
1587	0.355	0.421	0.672309481
1588	0.177	0.421	0.474724551
1589	2.659	1.684	1.839984769
1590	0.177	0.421	0.474724551
1591	0.355	0.421	0.672309481
1592	0.532	0.842	0.823020922
1593	0.177	0.421	0.474724551
1594	1.596	0.842	1.425514052
1595	0.709	0.842	0.950119381
1596	0.177	0.421	0.474724551
1597	1.95	1.684	1.575695755
1598	0.355	0.421	0.672309481
1599	0.177	0.421	0.474724551
1600	0.177	0.421	0.474724551
1601	0.532	0.842	0.823020922
1602	0.177	0.421	0.474724551
1603	0.177	0.421	0.474724551
1604	0.355	0.421	0.672309481
1605	6.56	2.526	2.890060798
1606	1.418	1.263	1.343671714
1607	3.546	2.382	2.124831152
1608	0.177	0.421	0.474724551
1609	0.355	0.421	0.672309481
1610	7.801	2.68	3.151593516
1611	0.177	0.421	0.474724551
1612	0.355	0.595	0.672309481
1613	2.837	1.684	1.900573752
1614	0.177	0.421	0.474724551
1615	0.177	0.421	0.474724551
1616	0.177	0.421	0.474724551
1617	0.177	0.421	0.474724551
1618	5.141	2.448	2.558461354
1619	0.355	0.421	0.672309481
